food_name,source,serving_size_g,calories,protein_g,carb_g,fat_g,notes,calcium_mg,iron_mg
光泉無加糖濃豆漿,光泉,375,190,19.1,7.9,9.8,每包375ml；膳食纖維3g；無加糖,,
全家日式和風沙拉醬,全家FamilyMart,40,48,0.6,8.4,1.4,每包40g；鈉366mg；魔術食品工業,,
福樂頂級鮮奶優酪,福樂Foremost,135,83,4.1,5.5,4.9,每杯135g；鈣122mg；含自然乳糖5.3g，無添加糖,,
義美生醫W PROTEIN抹茶乳清,義美生醫I-Mei,35,141,21.5,8.3,2.4,每包35g；咖啡因75.2mg；乳清分離+濃縮蛋白,,
義美生醫W PROTEIN VEGAN豌豆蛋白,義美生醫I-Mei,15,63,12.5,0.3,1.3,每15g；純素豌豆蛋白；MFP標示值,,
光泉無加糖濃黑豆漿特濃5.1,光泉,375,204,19.1,11.6,9.8,每盒375ml；黑豆；標示值,,
Hi-Life雞肉多多蛋白餐,萊爾富Hi-Life,380,408,33.1,44.1,11.0,每盒380g；十穀飯+雞胸+烤豆腐；標示值,,
大麥仁,食藥署台灣食品成分資料庫,100,346.7,8.6,77.1,1.6,穀物類；每100g；食藥署標示值,26,1.8
大麥片,食藥署台灣食品成分資料庫,100,351.9,8.6,76.7,1.8,穀物類；每100g；食藥署標示值,13,2.2
大麥仁粉,食藥署台灣食品成分資料庫,100,373.6,7.1,85.0,1.3,穀物類；每100g；食藥署標示值,25,1.1
小米,食藥署台灣食品成分資料庫,100,365.5,11.3,71.7,3.7,穀物類；每100g；食藥署標示值,5,2.9
小米(2025年取樣),食藥署台灣食品成分資料庫,100,370.9,11.0,73.6,3.9,穀物類；每100g；食藥署標示值,5,2.9
糯小米,食藥署台灣食品成分資料庫,100,357.2,12.5,72.5,1.5,穀物類；每100g；食藥署標示值,9,2.2
小麥,食藥署台灣食品成分資料庫,100,337.7,14.1,69.2,2.6,穀物類；每100g；食藥署標示值,19,3.4
小麥胚芽,食藥署台灣食品成分資料庫,100,395.8,31.4,47.9,11.6,穀物類；每100g；食藥署標示值,45,6
去筋麵粉,食藥署台灣食品成分資料庫,100,354.0,0.2,85.7,0.1,穀物類；每100g；食藥署標示值,7,0
低筋麵粉,食藥署台灣食品成分資料庫,100,359.4,8.1,78.2,1.2,穀物類；每100g；食藥署標示值,12,1.2
中筋麵粉,食藥署台灣食品成分資料庫,100,357.2,11.5,74.1,1.3,穀物類；每100g；食藥署標示值,12,0.9
高筋麵粉,食藥署台灣食品成分資料庫,100,357.6,12.9,73.1,1.2,穀物類；每100g；食藥署標示值,11,1.2
高筋麵粉(2021年取樣),食藥署台灣食品成分資料庫,100,357.0,13.8,72.2,1.3,穀物類；每100g；食藥署標示值,14,0.9
全麥麵粉,食藥署台灣食品成分資料庫,100,342.3,13.0,71.4,1.7,穀物類；每100g；食藥署標示值,23,3.4
雜糧中筋麵粉,食藥署台灣食品成分資料庫,100,349.6,13.1,72.0,2.3,穀物類；每100g；食藥署標示值,24,1.8
雜糧高筋麵粉,食藥署台灣食品成分資料庫,100,349.7,14.3,69.6,2.8,穀物類；每100g；食藥署標示值,24,1.9
白玉米,食藥署台灣食品成分資料庫,100,58.0,3.4,11.4,0.6,穀物類；每100g；食藥署標示值,5,0.6
糯玉米(紫色),食藥署台灣食品成分資料庫,100,157.4,4.5,34.4,1.0,穀物類；每100g；食藥署標示值,6,0.9
甜玉米,食藥署台灣食品成分資料庫,100,96.9,3.2,17.8,2.5,穀物類；每100g；食藥署標示值,3,0.5
雙色水果玉米,食藥署台灣食品成分資料庫,100,96.9,3.1,17.5,2.6,穀物類；每100g；食藥署標示值,3,0.7
糯玉米(雙色),食藥署台灣食品成分資料庫,100,164.8,4.7,33.4,1.9,穀物類；每100g；食藥署標示值,6,0.9
冷凍玉米粒,食藥署台灣食品成分資料庫,100,167.0,3.1,22.5,8.2,穀物類；每100g；食藥署標示值,3,0.6
乾玉米粒,食藥署台灣食品成分資料庫,100,345.9,10.9,72.2,3.9,穀物類；每100g；食藥署標示值,6,2.4
玉米胚芽,食藥署台灣食品成分資料庫,100,353.9,7.0,80.3,0.9,穀物類；每100g；食藥署標示值,3,0.8
玉米粉,食藥署台灣食品成分資料庫,100,368.2,0.3,88.3,0.4,穀物類；每100g；食藥署標示值,2,0.2
秈米平均值,食藥署台灣食品成分資料庫,100,355.4,7.8,77.4,0.9,穀物類；每100g；食藥署標示值,5,0.3
秈米(台中在來2號),食藥署台灣食品成分資料庫,100,353.7,8.2,76.3,1.0,穀物類；每100g；食藥署標示值,5,0.3
秈米(台中秈10號),食藥署台灣食品成分資料庫,100,357.1,7.4,78.5,0.7,穀物類；每100g；食藥署標示值,5,0.2
秈米(台中秈10號)(2024年取樣),食藥署台灣食品成分資料庫,100,355.8,6.1,79.8,0.6,穀物類；每100g；食藥署標示值,6,0.4
稉米平均值,食藥署台灣食品成分資料庫,100,352.5,7.0,77.8,0.7,穀物類；每100g；食藥署標示值,5,0.4
稉米(台中189號),食藥署台灣食品成分資料庫,100,354.9,7.5,78.1,0.6,穀物類；每100g；食藥署標示值,5,0.7
稉米(台南11號),食藥署台灣食品成分資料庫,100,346.7,6.7,77.2,0.5,穀物類；每100g；食藥署標示值,4,0.2
稉米(台稉2號),食藥署台灣食品成分資料庫,100,355.5,7.2,78.7,0.5,穀物類；每100g；食藥署標示值,5,0.4
稉米(台稉8號),食藥署台灣食品成分資料庫,100,354.2,6.9,78.8,0.4,穀物類；每100g；食藥署標示值,4,0.4
稉米(台稉9號),食藥署台灣食品成分資料庫,100,352.0,6.6,78.2,0.6,穀物類；每100g；食藥署標示值,5,0.2
稉米(台農71號),食藥署台灣食品成分資料庫,100,354.7,7.9,77.8,0.6,穀物類；每100g；食藥署標示值,5,0.3
稉米(高雄139號),食藥署台灣食品成分資料庫,100,354.5,6.1,78.5,1.2,穀物類；每100g；食藥署標示值,6,1
稉米(高雄142號),食藥署台灣食品成分資料庫,100,352.1,7.0,77.7,0.6,穀物類；每100g；食藥署標示值,6,0.2
稉米(高雄145號),食藥署台灣食品成分資料庫,100,362.4,6.8,80.0,1.0,穀物類；每100g；食藥署標示值,5,0.3
稉米(高雄139號)(2021年取樣),食藥署台灣食品成分資料庫,100,350.6,5.7,79.2,0.5,穀物類；每100g；食藥署標示值,3,0
稉米(高雄147),食藥署台灣食品成分資料庫,100,355.7,5.5,79.8,0.9,穀物類；每100g；食藥署標示值,,
越光米,食藥署台灣食品成分資料庫,100,337.7,7.6,73.2,1.0,穀物類；每100g；食藥署標示值,5,0.1
越光米(台南16號)(2024年取樣),食藥署台灣食品成分資料庫,100,354.0,6.9,79.1,0.3,穀物類；每100g；食藥署標示值,5,0.4
秈型糯米(台中糯70號),食藥署台灣食品成分資料庫,100,360.5,7.9,78.4,0.9,穀物類；每100g；食藥署標示值,5,0.2
秈型糯米(2025年取樣),食藥署台灣食品成分資料庫,100,360.3,7.0,79.6,0.8,穀物類；每100g；食藥署標示值,,
稉型糯米平均值,食藥署台灣食品成分資料庫,100,356.7,8.3,77.4,0.8,穀物類；每100g；食藥署標示值,7,0.4
稉型糯米,食藥署台灣食品成分資料庫,100,357.1,8.4,78.0,0.5,穀物類；每100g；食藥署標示值,6,0.4
稉型糯米(台稉糯1號),食藥署台灣食品成分資料庫,100,356.2,8.2,76.8,1.1,穀物類；每100g；食藥署標示值,7,0.4
